id,class,gender,degree,strength,betweenness,closeness,pagerank
1789,1A,M,45,5900,0.002312588820494484,0.5516431924882629,0.002716438081119589
1780,3A,M,94,13380,0.011169336771375899,0.625,0.005532757134714707
1782,3A,M,42,5300,0.0017128524344387167,0.5257270693512305,0.0026707028254433357
1783,1A,M,49,8060,0.0028514060584323526,0.5516431924882629,0.0034679352957487767
1787,1A,F,73,15980,0.008329048524755946,0.5919395465994962,0.005857027940007807
1546,4A,F,31,7700,0.0014879163071203688,0.4885654885654886,0.003365320295571756
1774,1A,F,42,7360,0.0021069690735272357,0.5465116279069767,0.003192223734510025
1545,4A,M,23,8820,9.659536059139777e-05,0.4644268774703557,0.003638506938544773
1836,4B,M,35,3420,0.0012817575794888394,0.5097613882863341,0.0022666697999710384
1770,1A,F,28,3920,0.00045306875104784104,0.5010660980810234,0.0020501606732865373
1772,1A,F,58,11880,0.003871170629314539,0.5662650602409639,0.004737581553366655
1838,3A,M,67,12820,0.004959881799548175,0.5831265508684863,0.005153329563112252
1779,1B,M,27,9440,0.00038274361238366174,0.4766734279918864,0.003284276534760883
1778,1A,F,31,4080,0.0009584498077736785,0.5086580086580087,0.002098761894016387
1548,4A,M,39,7620,0.004149202654190254,0.5086580086580087,0.0033412119725162036
1549,4A,M,49,8120,0.004000263047347509,0.5581947743467933,0.0033972328649228972
1775,1A,Unknown,66,13180,0.005068273410710825,0.5816831683168316,0.005039554711598029
1695,1B,F,67,25480,0.005922172734890896,0.5816831683168316,0.007939353559437676
1468,5A,M,48,6420,0.0029590781094700194,0.5389908256880734,0.003160674867869461
1674,1B,F,65,15320,0.004932782664172022,0.5802469135802469,0.0052805996684556706
1675,1B,F,69,17800,0.006189367804322037,0.5860349127182045,0.005901767393711893
1670,1B,F,36,7120,0.0018919003910091072,0.5032119914346895,0.002702502723256207
1673,1B,M,85,16920,0.009983603268689188,0.6103896103896104,0.005640165610619718
1551,3B,M,98,13700,0.014427537539143939,0.6317204301075269,0.005383527372269546
1798,1A,M,62,6300,0.005472757226526844,0.5745721271393643,0.002963836101097507
1759,1A,M,56,11880,0.0037756875666281014,0.5608591885441527,0.004615802282391899
1792,1A,M,61,12340,0.0036939228756244654,0.573170731707317,0.004815900168471468
1697,1B,M,76,22240,0.00669198287567171,0.5949367088607594,0.007178230471346113
1790,1A,F,48,4460,0.0011199113770341833,0.5490654205607477,0.002095409137946326
1797,4A,M,47,9740,0.0020947302687093924,0.5490654205607477,0.004040152112436994
1796,1A,F,47,7040,0.0023441696323779934,0.5542452830188679,0.0032205527040917053
1795,3A,F,70,11540,0.0048148739324050845,0.5875,0.004738472694841637
